Name,hermes.p.no-vmsub.zxpt.pi+
Comment,HERMES proton-to-pi+ (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
Reference,1212.5407
Process type,SIDIS
Number of points,336
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.no-vmsub.zxpt.pi+.42,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.6918871,0.6,0.8,0.10028,0.0,0.15,0.09719915,0.006480539,0.008364829,0.0026168524440321056,0.00388001864440527,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.43,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.6945797,0.6,0.8,0.2037743,0.15,0.25,0.2425865,0.01118826,0.02539548,0.006531055831395587,0.005820027966607905,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.44,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.6895546,0.6,0.8,0.3006263,0.25,0.35,0.3356996,0.01181044,0.02866001,0.009037901244204298,0.005820027966607906,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.45,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.6884266,0.6,0.8,0.4009616,0.35,0.45,0.3916568,0.01224943,0.03711013,0.0105444137556943,0.005820027966607902,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.46,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.6875906,0.6,0.8,0.5234161,0.45,0.6,0.3313591,0.00836397,0.02667517,0.008921043761054277,0.0038800186444052707,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.47,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.6888948,0.6,0.8,0.6944425,0.6,0.8,0.1977374,0.005350397,0.01780878,0.0053236020939129,0.002910013983303951,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.48,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.6915313,0.6,0.8,0.9509999,0.8,1.2,0.07709663,0.002064693,0.006968016,0.002075640626920492,0.0014550069916519765,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.49,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.8865441,0.8,1.1,0.09783861,0.0,0.15,0.05174876,0.003392925,0.004472676,0.0013932104250050628,0.0025866790962701808,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.50,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.8832255,0.8,1.1,0.1995942,0.15,0.25,0.1107957,0.00625032,0.01157682,0.0029829067263782445,0.0038800186444052707,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.51,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.8754233,0.8,1.1,0.3019232,0.25,0.35,0.106676,0.006588257,0.009165983,0.002871993750146672,0.0038800186444052716,True,0.1,0.85,10.0,10000.0,0.938,0.139
