Name,hermes.p.no-vmsub.zxpt.k-
Comment,HERMES proton-to-k- (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
Reference,1212.5407
Process type,SIDIS
Number of points,324
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.no-vmsub.zxpt.k-.0,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1492554,0.1,0.2,0.1067939,0.0,0.15,0.2874711,0.02006785,0.02779402,0.007739465320669962,0.007760037288810543,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.1,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1511672,0.1,0.2,0.213508,0.15,0.25,0.5791951,0.02503585,0.02982662,0.015593429705984256,0.011640055933215813,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.2,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1518241,0.1,0.2,0.3168185,0.25,0.35,0.7039968,0.02425432,0.03610476,0.01895341416741588,0.011640055933215815,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.3,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.151976,0.1,0.2,0.4237499,0.35,0.45,0.6270463,0.02491502,0.02765005,0.016881707737941006,0.011640055933215808,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.4,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1526828,0.1,0.2,0.5546972,0.45,0.6,0.4494353,0.02226225,0.01857339,0.012099960372485794,0.007760037288810543,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.5,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.155791,0.1,0.2,0.7346679,0.6,0.8,0.1621317,0.02148063,0.004985833,0.004365004584917461,0.005820027966607904,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.6,1 / 1 / -2 / 2001,52.657444,1.1180456162429153,1.0,4.47213595499958,0.03758863,0.023,0.047,0.1478494,0.1,0.2,0.8994808,0.8,1.2,0.005983145,0.01754469,0.0001809396,0.00016108173390660794,0.002910013983303954,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.7,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2296836,0.2,0.25,0.1042003,0.0,0.15,0.1387471,0.01737857,0.004674829,0.0037354306877927118,0.015520074577621088,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.8,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2252717,0.2,0.25,0.2044803,0.15,0.25,0.3973029,0.02670102,0.01413338,0.010696421366709927,0.023280111866431634,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.9,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2328072,0.2,0.25,0.3144368,0.25,0.35,0.4104288,0.0249637,0.01160645,0.011049804534105125,0.023280111866431637,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.10,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2333894,0.2,0.25,0.4157519,0.35,0.45,0.3867674,0.02260191,0.008461565,0.01041277846526377,0.023280111866431624,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.11,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2332827,0.2,0.25,0.5441331,0.45,0.6,0.2706343,0.01422219,0.007793275,0.007286175130069739,0.015520074577621092,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.12,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.236652,0.2,0.25,0.7277577,0.6,0.8,0.1384074,0.01018846,0.003968887,0.0037262850854367477,0.011640055933215812,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.13,1 / 1 / -2 / 2001,52.657444,1.1180456162429153,1.0,4.47213595499958,0.03758863,0.023,0.047,0.2470212,0.2,0.25,1.02915,0.8,1.2,0.03777216,0.007842878,0.000936174,0.0010169242139707161,0.005820027966607909,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.14,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2783266,0.25,0.3,0.1053194,0.0,0.15,0.1242235,0.01775717,0.00404088,0.003344417822390651,0.015520074577621088,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.15,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2760336,0.25,0.3,0.2048223,0.15,0.25,0.2425164,0.02029843,0.00950988,0.006529168558139322,0.023280111866431634,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.16,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2804486,0.25,0.3,0.3086946,0.25,0.35,0.2619652,0.02110887,0.01032489,0.007052780542539306,0.023280111866431637,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.17,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2769213,0.25,0.3,0.4040598,0.35,0.45,0.2639177,0.01800813,0.01152126,0.007105346891082195,0.023280111866431624,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.18,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2861604,0.25,0.3,0.5450003,0.45,0.6,0.201626,0.012636,0.009532777,0.005428293260593506,0.015520074577621092,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.19,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2950741,0.25,0.3,0.7434569,0.6,0.8,0.1051248,0.008164731,0.004550282,0.0028302314352377186,0.011640055933215812,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.20,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.30285,0.3,0.375,1.03269,0.8,1.2,0.02889205,0.003624438,0.001057333,0.0007778486916356551,0.0038800186444052716,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.21,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3341398,0.3,0.375,0.1031244,0.0,0.15,0.1070292,0.0125591,0.003221051,0.002881502807409335,0.010346716385080723,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.22,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3330176,0.3,0.375,0.2065466,0.15,0.25,0.1892749,0.01564404,0.007982923,0.005095769712584239,0.015520074577621083,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.23,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.33616,0.3,0.375,0.3011856,0.25,0.35,0.2005206,0.01484553,0.01242353,0.005398533034381311,0.015520074577621086,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.24,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.337424,0.3,0.375,0.4025565,0.35,0.45,0.2181497,0.01489294,0.01348703,0.005873153989616891,0.015520074577621076,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.25,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3482385,0.3,0.375,0.5371654,0.45,0.6,0.164179,0.008927064,0.009947601,0.004420123194582947,0.010346716385080723,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.26,1 / 1 / -2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3518247,0.3,0.375,0.7159694,0.6,0.8,0.09879471,0.005483341,0.006064141,0.0026598090448418845,0.007760037288810538,True,0.1,0.85,10.0,10000.0,0.938,0.494
