Name,hermes.d.no-vmsub.zxpt.k-
Comment,HERMES deutron-to-k- (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
Reference,1212.5407
Process type,SIDIS
Number of points,326
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.d.no-vmsub.zxpt.k-.16,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2822622,0.25,0.3,0.3096852,0.25,0.35,0.2970633,0.02027584,0.009982571,0.008954539394555198,0.0243800613735766,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.17,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2804761,0.25,0.3,0.4106082,0.35,0.45,0.2593395,0.01635045,0.00703879,0.007817410529386323,0.024380061373576588,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.18,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2825604,0.25,0.3,0.5349337,0.45,0.6,0.2279966,0.01137488,0.007256519,0.0068726245770670555,0.01625337424905107,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.19,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2849114,0.25,0.3,0.7114554,0.6,0.8,0.122981,0.007298801,0.00368648,0.0037070826631286765,0.012190030686788294,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.20,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2770301,0.25,0.3,0.9426606,0.8,1.2,0.03498351,0.003471298,0.001080328,0.0010545268246020824,0.00609501534339415,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.21,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3328868,0.3,0.375,0.1003746,0.0,0.15,0.07398525,0.009223886,0.002543347,0.002230177324970857,0.010835582832700707,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.22,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3419449,0.3,0.375,0.2063046,0.15,0.25,0.1698953,0.01384304,0.006340235,0.005121245730454667,0.01625337424905106,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.23,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3353224,0.3,0.375,0.2985155,0.25,0.35,0.2035513,0.01274481,0.006671657,0.006135756704590987,0.016253374249051062,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.24,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3399532,0.3,0.375,0.4035981,0.35,0.45,0.2072194,0.01239153,0.00719901,0.0062463262227817834,0.01625337424905105,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.25,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3480166,0.3,0.375,0.5416212,0.45,0.6,0.1543136,0.007804182,0.005444764,0.004651558136988423,0.010835582832700707,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.26,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3481643,0.3,0.375,0.7158993,0.6,0.8,0.08601101,0.004914937,0.002934133,0.002592676299665698,0.008126687124525526,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.27,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3439092,0.3,0.375,0.9676409,0.8,1.2,0.0215329,0.001765317,0.0007733983,0.0006490778272813157,0.0040633435622627655,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.28,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.4216435,0.375,0.475,0.1000444,0.0,0.15,0.05754067,0.007176472,0.002158609,0.0017344794739171771,0.008126687124525533,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.29,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.4166388,0.375,0.475,0.2007769,0.15,0.25,0.09630079,0.009560247,0.003469811,0.002902846692209328,0.012190030686788299,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.30,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.4260041,0.375,0.475,0.3085916,0.25,0.35,0.1084368,0.009347511,0.003487844,0.003268668992162624,0.0121900306867883,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.31,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.4224269,0.375,0.475,0.4013854,0.35,0.45,0.1363682,0.009573058,0.004093198,0.004110620258593311,0.012190030686788294,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.32,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.4304815,0.375,0.475,0.5346523,0.45,0.6,0.1034905,0.006274595,0.00293796,0.0031195700014515926,0.008126687124525534,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.33,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.4305908,0.375,0.475,0.6997505,0.6,0.8,0.06796431,0.003873951,0.001589287,0.0020486848806929767,0.006095015343394147,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.34,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.4337363,0.375,0.475,0.970897,0.8,1.2,0.01812404,0.00123826,0.000500944,0.0005463227203376999,0.003047507671697075,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.35,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.5317823,0.475,0.6,0.1037653,0.0,0.15,0.0299095,0.004692107,0.001036599,0.0009015782024284007,0.006501349699620424,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.36,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.5288493,0.475,0.6,0.2076477,0.15,0.25,0.07420396,0.007660289,0.002724505,0.0022367700185515955,0.009752024549430636,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.37,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.5346342,0.475,0.6,0.3027911,0.25,0.35,0.06102598,0.006204349,0.002171315,0.0018395390544753852,0.009752024549430638,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.38,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.5293852,0.475,0.6,0.3986094,0.35,0.45,0.06547242,0.006191102,0.001940524,0.001973570495402373,0.009752024549430633,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.39,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.5373084,0.475,0.6,0.5271861,0.45,0.6,0.06053397,0.004432141,0.001885089,0.0018247081314784514,0.006501349699620425,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.40,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.5365503,0.475,0.6,0.7005282,0.6,0.8,0.04492407,0.002931241,0.001316827,0.0013541704901909978,0.004876012274715316,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.41,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.5423038,0.475,0.6,0.9761603,0.8,1.2,0.01499182,0.001016782,0.0004370539,0.0004519065222330747,0.0024380061373576595,True,0.1,0.85,10.0,10000.0,0.938,0.494
