Name,hermes.p.vmsub.zxpt.pi+
Comment,HERMES proton-to-pi+ (zxpt-3D) vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
Reference,1212.5407
Process type,SIDIS
Number of points,336
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.vmsub.zxpt.pi+.0,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1522018,0.1,0.2,0.1105712,0.0,0.15,4.398481,0.0575923,0.3502936,0.11841848159041288,0.007760037288810543,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi+.1,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.154622,0.1,0.2,0.2217933,0.15,0.25,8.759948,0.07195339,0.3143965,0.23584045059441522,0.011640055933215813,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi+.2,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1560952,0.1,0.2,0.327693,0.25,0.35,9.660459,0.07069932,0.5892676,0.26008453514893853,0.011640055933215815,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi+.3,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.159801,0.1,0.2,0.4409912,0.35,0.45,7.843414,0.07098244,0.5820321,0.2111649854495192,0.011640055933215808,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi+.4,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1624893,0.1,0.2,0.5817642,0.45,0.6,4.778433,0.05917073,0.3199156,0.12864777186522378,0.007760037288810543,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi+.5,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1678483,0.1,0.2,0.792604,0.6,0.8,1.816914,0.05938146,0.09732278,0.04891602284069509,0.005820027966607904,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi+.6,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1928145,0.1,0.2,1.188888,0.8,1.2,0.233611,0.05825108,0.01268427,0.00628941216361238,0.002910013983303954,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi+.7,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2295056,0.2,0.25,0.1030673,0.0,0.15,2.244343,0.05731148,0.04568058,0.06042351671590079,0.015520074577621088,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi+.8,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2340181,0.2,0.25,0.2126745,0.15,0.25,4.108003,0.07584694,0.2288256,0.11059806274685757,0.023280111866431634,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi+.9,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2356541,0.2,0.25,0.3168787,0.25,0.35,5.008332,0.07431604,0.1559328,0.1348372473907869,0.023280111866431637,True,0.1,0.85,10.0,10000.0,0.938,0.139
