Name,compass.wgt.h+.dx.z>0.1,,,,,,,,,,,,,,,,,,,,,,,,
Comment,COMPASS DSA with worm-gear T (differential in x). ,,,,,,,,,,,,,,,,,,,,,,,,
Reference,Physics Letters B 770 (2017) 138–145,,,,,,,,,,,,,,,,,,,,,,,,
Process type,SIDIS,,,,,,,,,,,,,,,,,,,,,,,,
Number of points,26,,,,,,,,,,,,,,,,,,,,,,,,
Number of uncorr.errors,1,,,,,,,,,,,,,,,,,,,,,,,,
Number of corr.errors,0,,,,,,,,,,,,,,,,,,,,,,,,
Number of norm.errors,1,,,,,,,,,,,,,,,,,,,,,,,,
List of norm.errors (relative),0.03,,,,,,,,,,,,,,,,,,,,,,,,
Total cross-section normalized,False,,,,,,,,,,,,,,,,,,,,,,,,
List of points,,,,,,,,,,,,,,,,,,,,,,,,,
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV] 
compass.wgt.hp.dx_z213, 1 - 1 – 13101, 1 - 1- 2101,301.039844,2.66458251889485,2.5,4,0.031,0.022,0.035,0.24,0.1,1,0.53,0.1,7,-0.067,0.037,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dx_z214, 1 - 1 – 13101, 1 - 1- 2101,301.039844,2.86356421265527,2.5,4,0.046,0.035,0.055,0.24,0.1,1,0.51,0.1,7,0.002,0.022,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dx_z215, 1 - 1 – 13101, 1 - 1- 2101,301.039844,3.02324329156619,2.5,4,0.076,0.055,0.105,0.25,0.1,1,0.49,0.1,7,0.008,0.02,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dx_z216, 1 - 1 – 13101, 1 - 1- 2101,301.039844,3.06920185064456,2.5,4,0.121,0.105,0.145,0.26,0.1,1,0.46,0.1,7,0.031,0.036,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dx_z217, 1 - 1 – 13101, 1 - 1- 2101,301.039844,3.104834939252,2.5,4,0.176,0.145,0.215,0.27,0.1,1,0.43,0.1,7,0.061,0.051,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dx_z218, 1 - 1 – 13101, 1 - 1- 2101,301.039844,3.27719392163479,2.5,4,0.248,0.215,0.3,0.28,0.1,1,0.41,0.1,7,0.012,0.093,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dx_z219, 1 - 1 – 13101, 1 - 1- 2101,301.039844,3.59304884464434,2.5,4,0.351,0.3,0.55,0.29,0.1,1,0.42,0.1,7,0.151,0.18,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dx_z220, 1 - 1 – 13101, 1 - 1- 2101,301.039844,4.34281015012169,4,9,0.084,0.055,0.105,0.24,0.1,1,0.54,0.1,7,0.103,0.044,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dx_z221, 1 - 1 – 13101, 1 - 1- 2101,301.039844,4.67225855448947,4,9,0.123,0.105,0.145,0.25,0.1,1,0.52,0.1,7,0.052,0.036,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dx_z222, 1 - 1 – 13101, 1 - 1- 2101,301.039844,4.98798556533597,4,9,0.179,0.145,0.215,0.25,0.1,1,0.5,0.1,7,0.042,0.035,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dx_z223, 1 - 1 – 13101, 1 - 1- 2101,301.039844,5.29339210714642,4,9,0.254,0.215,0.3,0.26,0.1,1,0.49,0.1,7,0.075,0.043,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dx_z224, 1 - 1 – 13101, 1 - 1- 2101,301.039844,5.54436651025164,4,9,0.389,0.3,0.55,0.28,0.1,1,0.49,0.1,7,0.079,0.05,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dx_z225, 1 - 1 – 13101, 1 - 1- 2101,301.039844,6.10327780786685,4,9,0.637,0.55,0.8,0.31,0.1,1,0.66,0.1,7,0.018,0.153,1,True,0.1,0.9,10,10000,0.938,0.139
