Name,compass.wgt.h+.dz.0.2>z>0.1,,,,,,,,,,,,,,,,,,,,,,,,
Comment,COMPASS DSA with worm-gear T (differential in z). ,,,,,,,,,,,,,,,,,,,,,,,,
Reference,Physics Letters B 770 (2017) 138–145,,,,,,,,,,,,,,,,,,,,,,,,
Process type,SIDIS,,,,,,,,,,,,,,,,,,,,,,,,
Number of points,20,,,,,,,,,,,,,,,,,,,,,,,,
Number of uncorr.errors,1,,,,,,,,,,,,,,,,,,,,,,,,
Number of corr.errors,0,,,,,,,,,,,,,,,,,,,,,,,,
Number of norm.errors,1,,,,,,,,,,,,,,,,,,,,,,,,
List of norm.errors (relative),0.03,,,,,,,,,,,,,,,,,,,,,,,,
Total cross-section normalized,False,,,,,,,,,,,,,,,,,,,,,,,,
List of points,,,,,,,,,,,,,,,,,,,,,,,,,
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV] 
compass.wgt.hp.dz_z110, 1 - 1 – 13101, 1 - 1- 2101,301.039844,3.06267856622271,2.5,4,0.115,0.023135809049988,0.533049040511727,0.11,0.1,0.12,0.38,0.1,7,0.04,0.032,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dz_z111, 1 - 1 – 13101, 1 - 1- 2101,301.039844,3.06267856622271,2.5,4,0.118,0.023135809049988,0.533049040511727,0.13,0.12,0.14,0.4,0.1,7,-0.036,0.036,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dz_z112, 1 - 1 – 13101, 1 - 1- 2101,301.039844,3.06104557300279,2.5,4,0.12,0.023135809049988,0.533049040511727,0.15,0.14,0.16,0.41,0.1,7,-0.029,0.039,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dz_z113, 1 - 1 – 13101, 1 - 1- 2101,301.039844,3.06104557300279,2.5,4,0.122,0.023135809049988,0.533049040511727,0.17,0.16,0.18,0.42,0.1,7,-0.021,0.043,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dz_z114, 1 - 1 – 13101, 1 - 1- 2101,301.039844,3.06104557300279,2.5,4,0.124,0.023135809049988,0.533049040511727,0.19,0.18,0.2,0.43,0.1,7,-0.032,0.047,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dz_z115, 1 - 1 – 13101, 1 - 1- 2101,301.039844,5.12640224719052,4,9,0.226,0.05922767116797,0.898800042023895,0.11,0.1,0.12,0.4,0.1,7,0.071,0.049,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dz_z116, 1 - 1 – 13101, 1 - 1- 2101,301.039844,5.12445119012758,4,9,0.229,0.05922767116797,0.898800042023895,0.13,0.12,0.14,0.41,0.1,7,0.076,0.054,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dz_z117, 1 - 1 – 13101, 1 - 1- 2101,301.039844,5.12640224719052,4,9,0.232,0.05922767116797,0.898800042023895,0.15,0.14,0.16,0.43,0.1,7,-0.01,0.059,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dz_z118, 1 - 1 – 13101, 1 - 1- 2101,301.039844,5.11859355682789,4,9,0.234,0.05922767116797,0.898800042023895,0.17,0.16,0.18,0.44,0.1,7,0.064,0.064,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hp.dz_z119, 1 - 1 – 13101, 1 - 1- 2101,301.039844,5.11957029446808,4,9,0.236,0.05922767116797,0.898800042023895,0.19,0.18,0.2,0.46,0.1,7,0.075,0.069,1,True,0.1,0.9,10,10000,0.938,0.139
