Name,compass.d.h-.case4
Comment,COMPASS isoscalar h-. prediction case4
Reference,SV19
Process type,SIDIS
Number of points,3840
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass.d.h-.case4.19,1 - 1 - 2113,301.03984399999996,1.1519202405202649,1.0,1.3038404810405297,0.008,0.003,0.013,0.25,0.2,0.3,0.9663689526544408,0.9327379053088815,1.0,1.0,0.1,76.92307692307688,True,0.1,0.9,25.0,144.0,0.938,0.139
compass.d.h-.case4.20,1 - 1 - 2113,301.03984399999996,1.1519202405202649,1.0,1.3038404810405297,0.008,0.003,0.013,0.25,0.2,0.3,1.029150262212918,1.0,1.0583005244258363,1.0,0.1,83.33333333333329,True,0.1,0.9,25.0,144.0,0.938,0.139
compass.d.h-.case4.21,1 - 1 - 2113,301.03984399999996,1.1519202405202649,1.0,1.3038404810405297,0.008,0.003,0.013,0.25,0.2,0.3,1.0859266984959204,1.0583005244258363,1.1135528725660044,1.0,0.1,83.33333333333329,True,0.1,0.9,25.0,144.0,0.938,0.139
compass.d.h-.case4.22,1 - 1 - 2113,301.03984399999996,1.1519202405202649,1.0,1.3038404810405297,0.008,0.003,0.013,0.25,0.2,0.3,1.1441434425065387,1.1135528725660044,1.174734012447073,1.0,0.1,71.42857142857149,True,0.1,0.9,25.0,144.0,0.938,0.139
compass.d.h-.case4.23,1 - 1 - 2113,301.03984399999996,1.1519202405202649,1.0,1.3038404810405297,0.008,0.003,0.013,0.25,0.2,0.3,1.2038084065204342,1.174734012447073,1.2328828005937953,1.0,0.1,71.42857142857149,True,0.1,0.9,25.0,144.0,0.938,0.139
compass.d.h-.case4.24,1 - 1 - 2113,301.03984399999996,1.1519202405202649,1.0,1.3038404810405297,0.008,0.003,0.013,0.25,0.2,0.3,1.2645154701376837,1.2328828005937953,1.296148139681572,1.0,0.1,62.50000000000013,True,0.1,0.9,25.0,144.0,0.938,0.139
compass.d.h-.case4.25,1 - 1 - 2113,301.03984399999996,1.1519202405202649,1.0,1.3038404810405297,0.008,0.003,0.013,0.25,0.2,0.3,1.328147595277558,1.296148139681572,1.3601470508735443,1.0,0.1,58.82352941176467,True,0.1,0.9,25.0,144.0,0.938,0.139
compass.d.h-.case4.26,1 - 1 - 2113,301.03984399999996,1.1519202405202649,1.0,1.3038404810405297,0.008,0.003,0.013,0.25,0.2,0.3,1.3959645786005899,1.3601470508735443,1.4317821063276353,1.0,0.1,50.00000000000002,True,0.1,0.9,25.0,144.0,0.938,0.139
compass.d.h-.case4.27,1 - 1 - 2113,301.03984399999996,1.1519202405202649,1.0,1.3038404810405297,0.008,0.003,0.013,0.25,0.2,0.3,1.4823765390016121,1.4317821063276353,1.5329709716755893,1.0,0.1,33.333333333333314,True,0.1,0.9,25.0,144.0,0.938,0.139
compass.d.h-.case4.28,1 - 1 - 2113,301.03984399999996,1.1519202405202649,1.0,1.3038404810405297,0.008,0.003,0.013,0.25,0.2,0.3,1.58042651564278,1.5329709716755893,1.6278820596099706,1.0,0.1,33.33333333333336,True,0.1,0.9,25.0,144.0,0.938,0.139
