Name,A8_A5_1y2
Comment,ATLAS 8TeV angular coefficent A5
Reference,arXiv:1606.00689
Process type,DY
Number of points,23
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8_A5_1y2.0,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,1.25,0.0,2.5,-0.000611337,0.00731135,0.00373703,0.000895867,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.1,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,3.75,2.5,5.0,-0.0025042,0.00281466,0.00156102,0.000398759,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.2,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,6.5,5.0,8.0,-0.00141885,0.00198851,0.00100137,0.00017136,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.3,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,9.7,8.0,11.4,0.000405238,0.00198932,0.00105319,0.000100651,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.4,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,13.15,11.4,14.9,0.00258824,0.00184763,0.000993859,0.000110948,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.5,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,16.7,14.9,18.5,0.00412467,0.00191481,0.000967055,0.0001548,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.6,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,20.25,18.5,22.0,0.00505567,0.00220636,0.00108545,0.00020514,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.7,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,23.75,22.0,25.5,0.00490044,0.00245033,0.00120718,0.00024869,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.8,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,27.25,25.5,29.0,0.00419723,0.00259121,0.00124768,0.000280606,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.9,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,30.8,29.0,32.6,0.00320089,0.0026954,0.00128029,0.000300381,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.10,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,34.5,32.6,36.4,0.00210055,0.00289518,0.00137643,0.000308996,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.11,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,38.4,36.4,40.4,0.00112084,0.00323251,0.00154353,0.000307317,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.12,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,42.65,40.4,44.9,0.00147679,0.00354248,0.00171974,0.000295747,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.13,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,47.55,44.9,50.2,0.00209387,0.00371974,0.00181993,0.000275127,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.14,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,53.3,50.2,56.4,0.00404532,0.00381504,0.00184563,0.000248881,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.15,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,60.15,56.4,63.9,0.00632258,0.00402101,0.00196611,0.000226419,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.16,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,68.65,63.9,73.4,0.00877273,0.00454666,0.00231073,0.000227787,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.17,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,79.4,73.4,85.4,0.0107281,0.00539235,0.0027264,0.000289562,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.18,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,95.2,85.4,105.0,0.0103981,0.00621216,0.00308025,0.000472004,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.19,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,118.5,105.0,132.0,0.00590261,0.00716119,0.00342424,0.000867456,1.0,False,20.0,20.0,2.0,4.5
A8_A5_1y2.20,1 - 1 - 1 - 25,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,152.5,132.0,173.0,-0.00405234,0.00975691,0.00450065,0.00160999,1.0,False,20.0,20.0,2.0,4.5
