Name,A8_A2_0y1
Comment,ATLAS 8TeV angular coefficent A2
Reference,arXiv:1606.00689
Process type,DY
Number of points,23
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8_A2_0y1.0,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,1.25,0.0,2.5,0.031633,0.010977,0.00622561,0.00215628,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.1,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,3.75,2.5,5.0,0.00748761,0.00450225,0.00282789,0.00138557,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.2,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,6.5,5.0,8.0,0.00313497,0.00343055,0.00220513,0.00100695,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.3,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,9.7,8.0,11.4,0.011643,0.00327294,0.0021813,0.000847829,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.4,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,13.15,11.4,14.9,0.0284432,0.00311305,0.0021074,0.000804301,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.5,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,16.7,14.9,18.5,0.0501211,0.00338463,0.00218854,0.000820696,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.6,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,20.25,18.5,22.0,0.0746232,0.00388117,0.0024478,0.000872646,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.7,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,23.75,22.0,25.5,0.100317,0.00423663,0.00257552,0.000953584,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.8,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,27.25,25.5,29.0,0.127198,0.00446474,0.00271415,0.00106471,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.9,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,30.8,29.0,32.6,0.155282,0.00480414,0.00299758,0.00120842,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.10,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,34.5,32.6,36.4,0.184503,0.0053954,0.00347728,0.00138517,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.11,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,38.4,36.4,40.4,0.216249,0.00610626,0.00398015,0.00159388,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.12,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,42.65,40.4,44.9,0.251596,0.00670743,0.00444882,0.00183564,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.13,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,47.55,44.9,50.2,0.290728,0.00724996,0.00477435,0.00212108,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.14,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,53.3,50.2,56.4,0.335074,0.00821767,0.00529886,0.00248102,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.15,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,60.15,56.4,63.9,0.384869,0.0100522,0.00626762,0.00298069,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.16,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,68.65,63.9,73.4,0.438974,0.0128756,0.00775207,0.00373735,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.17,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,79.4,73.4,85.4,0.498881,0.0161609,0.0095118,0.00494141,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.18,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,95.2,85.4,105.0,0.559806,0.0191596,0.0110441,0.00688101,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.19,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,118.5,105.0,132.0,0.622169,0.0223988,0.0119645,0.00997,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.20,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,152.5,132.0,173.0,0.680451,0.028539,0.013635,0.0147794,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.21,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,213.0,173.0,253.0,0.727832,0.043747,0.0189824,0.0220726,1.0,False,20.0,20.0,2.0,4.5
A8_A2_0y1.22,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,426.5,253.0,600.0,0.760645,0.0744102,0.0316325,0.0328432,1.0,False,20.0,20.0,2.0,4.5
