Name,A8_Auu_1y2
Comment,ATLAS 8TeV angular coefficent A4 (used for normalization)
Reference,arXiv:1606.00689
Process type,DY
Number of points,23
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8_Auu_1y2.0,1 - 1 - 1 - 2,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,1.25,0.0,2.5,0.0484801,0.00495591,0.00272547,0.000476756,1.0,False,20.0,20.0,2.0,4.5
A8_Auu_1y2.1,1 - 1 - 1 - 2,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,3.75,2.5,5.0,0.0604288,0.00230458,0.00128175,0.000377273,1.0,False,20.0,20.0,2.0,4.5
A8_Auu_1y2.2,1 - 1 - 1 - 2,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,6.5,5.0,8.0,0.065299,0.00236927,0.00126403,0.000345896,1.0,False,20.0,20.0,2.0,4.5
A8_Auu_1y2.3,1 - 1 - 1 - 2,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,9.7,8.0,11.4,0.0656703,0.00233238,0.00128658,0.000348631,1.0,False,20.0,20.0,2.0,4.5
A8_Auu_1y2.4,1 - 1 - 1 - 2,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,13.15,11.4,14.9,0.0639081,0.00227638,0.00121089,0.000365513,1.0,False,20.0,20.0,2.0,4.5
A8_Auu_1y2.5,1 - 1 - 1 - 2,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,16.7,14.9,18.5,0.0613934,0.00255616,0.00129654,0.000386336,1.0,False,20.0,20.0,2.0,4.5
A8_Auu_1y2.6,1 - 1 - 1 - 2,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,20.25,18.5,22.0,0.0590253,0.00298494,0.0015233,0.000407079,1.0,False,20.0,20.0,2.0,4.5
A8_Auu_1y2.7,1 - 1 - 1 - 2,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,23.75,22.0,25.5,0.0572941,0.0033055,0.0016544,0.000427023,1.0,False,20.0,20.0,2.0,4.5
A8_Auu_1y2.8,1 - 1 - 1 - 2,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,27.25,25.5,29.0,0.0562575,0.00349645,0.00173106,0.000446561,1.0,False,20.0,20.0,2.0,4.5
A8_Auu_1y2.9,1 - 1 - 1 - 2,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,30.8,29.0,32.6,0.0560909,0.00368239,0.0017821,0.000465714,1.0,False,20.0,20.0,2.0,4.5
