Name,CMS13_dQ_170to350
Comment,CMS 13TeV 2021 preliminary
Reference,CMS-PAS-SMP-20-003
Process type,DY
Number of points,13
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.012
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CMS13_dQ_170to350.0,1 - 1 - 5,169000000.0,260.0,170.0,350.0,0.0,-2.4,2.4,1.0,0.0,2.0,0.0344,0.0015632141248082426,0.4623054362144893,True,25.0,20.0,-2.4,2.4
CMS13_dQ_170to350.1,1 - 1 - 5,169000000.0,260.0,170.0,350.0,0.0,-2.4,2.4,3.0,2.0,4.0,0.0781,0.002232348845946798,0.4709964085393457,True,25.0,20.0,-2.4,2.4
CMS13_dQ_170to350.2,1 - 1 - 5,169000000.0,260.0,170.0,350.0,0.0,-2.4,2.4,5.0,4.0,6.0,0.0902,0.0023813483323529136,0.47125309468372883,True,25.0,20.0,-2.4,2.4
CMS13_dQ_170to350.3,1 - 1 - 5,169000000.0,260.0,170.0,350.0,0.0,-2.4,2.4,7.0,6.0,8.0,0.0871,0.00229950598390176,0.47063011583760234,True,25.0,20.0,-2.4,2.4
CMS13_dQ_170to350.4,1 - 1 - 5,169000000.0,260.0,170.0,350.0,0.0,-2.4,2.4,9.0,8.0,10.0,0.0827,0.0023638316204839973,0.4812185222934105,True,25.0,20.0,-2.4,2.4
CMS13_dQ_170to350.5,1 - 1 - 5,169000000.0,260.0,170.0,350.0,0.0,-2.4,2.4,11.0,10.0,12.0,0.0758,0.002166607458678199,0.4787618055360127,True,25.0,20.0,-2.4,2.4
CMS13_dQ_170to350.6,1 - 1 - 5,169000000.0,260.0,170.0,350.0,0.0,-2.4,2.4,13.0,12.0,14.0,0.0653,0.0019371110448293874,0.4814527733441862,True,25.0,20.0,-2.4,2.4
CMS13_dQ_170to350.7,1 - 1 - 5,169000000.0,260.0,170.0,350.0,0.0,-2.4,2.4,16.0,14.0,18.0,0.0548,0.0016256307083713697,0.2431352559678375,True,25.0,20.0,-2.4,2.4
CMS13_dQ_170to350.8,1 - 1 - 5,169000000.0,260.0,170.0,350.0,0.0,-2.4,2.4,20.0,18.0,22.0,0.0465,0.0013291193512999502,0.24338492905611647,True,25.0,20.0,-2.4,2.4
CMS13_dQ_170to350.9,1 - 1 - 5,169000000.0,260.0,170.0,350.0,0.0,-2.4,2.4,25.0,22.0,28.0,0.0353,0.0010851520861151216,0.1624335667016386,True,25.0,20.0,-2.4,2.4
CMS13_dQ_170to350.10,1 - 1 - 5,169000000.0,260.0,170.0,350.0,0.0,-2.4,2.4,40.0,28.0,52.0,0.02053,0.0006090182197602959,0.04091228102560739,True,25.0,20.0,-2.4,2.4
CMS13_dQ_170to350.11,1 - 1 - 5,169000000.0,260.0,170.0,350.0,0.0,-2.4,2.4,106.0,52.0,160.0,0.00437,0.00021661274962476236,0.00919216272205888,True,25.0,20.0,-2.4,2.4
CMS13_dQ_170to350.12,1 - 1 - 5,169000000.0,260.0,170.0,350.0,0.0,-2.4,2.4,580.0,160.0,1000.0,0.0001019,5.469477160570285e-06,0.0011151644409373922,True,25.0,20.0,-2.4,2.4
