Name,CMS13-16y24-norm
Comment,CMS 13TeV 1.6<|y|<2.4 normalized
Reference,arXiv:1909.04133
Process type,DY
Number of points,33
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CMS13-16y24-norm.0,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,1.5,1.0,2.0,0.048608,0.0019228,4.8607999999999994e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.1,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,2.5,2.0,3.0,0.063111,0.0023862,6.3111e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.2,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,3.5,3.0,4.0,0.072261,0.0025806,7.2261e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.3,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,4.5,4.0,5.0,0.074514,0.0024773,7.451399999999999e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.4,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,5.5,5.0,6.0,0.071993,0.0022255,7.1993e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.5,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,6.5,6.0,7.0,0.067495,0.0019609,6.7495e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.6,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,7.5,7.0,8.0,0.063051,0.0017633,6.305099999999999e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.7,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,8.5,8.0,9.0,0.05926,0.0016284,5.9259999999999996e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.8,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,9.5,9.0,10.0,0.055573,0.0014996,5.5573e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.9,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,10.5,10.0,11.0,0.051613,0.0013413,5.1612999999999994e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.10,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,11.5,11.0,12.0,0.047344,0.0011525,4.7344e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.11,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,12.5,12.0,13.0,0.043248,0.0009903,4.3248e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.12,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,13.5,13.0,14.0,0.040068,0.00089894,4.0068e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.13,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,15.0,14.0,16.0,0.037439,0.00081681,3.7438999999999995e-08,1.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.14,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,17.0,16.0,18.0,0.031867,0.00066085,3.1867e-08,1.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.15,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,19.0,18.0,20.0,0.027608,0.00055535,2.7607999999999998e-08,1.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.16,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,21.0,20.0,22.0,0.025413,0.00049193,2.5413e-08,1.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.17,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,23.5,22.0,25.0,0.021422,0.00038811,2.1421999999999998e-08,0.6666666666666666,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.18,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,26.5,25.0,28.0,0.017869,0.00030779,1.7869e-08,0.6666666666666666,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.19,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,30.0,28.0,32.0,0.014646,0.00022657,1.4646e-08,0.5,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.20,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,34.5,32.0,37.0,0.011655,0.00014768,1.1654999999999999e-08,0.4,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.21,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,40.0,37.0,43.0,0.0088441,0.00010143,8.8441e-09,0.3333333333333333,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.22,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,47.5,43.0,52.0,0.0062295,7.6006e-05,6.2295e-09,0.2222222222222222,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.23,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,58.5,52.0,65.0,0.0035776,4.8603e-05,3.5775999999999997e-09,0.15384615384615385,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.24,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,75.0,65.0,85.0,0.0017622,2.58e-05,1.7622e-09,0.1,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.25,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,102.5,85.0,120.0,0.00075261,1.2113e-05,7.526099999999999e-10,0.05714285714285714,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.26,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,140.0,120.0,160.0,0.00029799,5.654e-06,2.9798999999999997e-10,0.05,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.27,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,175.0,160.0,190.0,0.00013463,3.0898e-06,1.3463e-10,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.28,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,205.0,190.0,220.0,7.4951e-05,2.102e-06,7.495099999999999e-11,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.29,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,235.0,220.0,250.0,4.2242e-05,1.4069e-06,4.2242e-11,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.30,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,275.0,250.0,300.0,2.1264e-05,8.1114e-07,2.1263999999999998e-11,0.04,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.31,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,350.0,300.0,400.0,6.8023e-06,3.1998e-07,6.8023e-12,0.02,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.32,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,950.0,400.0,1500.0,1.7133e-07,1.0591e-08,1.7133000000000001e-13,0.0018181818181818182,True,25.0,25.0,-2.4,2.4
