Name,A8_A5_2y35
Comment,ATLAS 8TeV angular coefficent A5
Reference,arXiv:1606.00689
Process type,DY
Number of points,19
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8_A5_2y35.0,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,1.25,0.0,2.5,-0.0301519,0.071936,0.0251666,0.000452385,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.1,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,3.75,2.5,5.0,0.0122576,0.026435,0.00936349,0.000573958,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.2,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,6.5,5.0,8.0,0.0129137,0.0152494,0.00537274,0.000650316,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.3,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,9.7,8.0,11.4,0.00592979,0.0127382,0.00488429,0.000657261,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.4,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,13.15,11.4,14.9,0.00440412,0.0125519,0.00451373,0.000594414,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.5,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,16.7,14.9,18.5,-0.000537738,0.0135813,0.00473096,0.000477936,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.6,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,20.25,18.5,22.0,0.00421434,0.0155564,0.00528732,0.000334014,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.7,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,23.75,22.0,25.5,0.0132771,0.0182156,0.00605235,0.00019315,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.8,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,27.25,25.5,29.0,0.0124169,0.0197598,0.00604079,8.52291e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.9,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,30.8,29.0,32.6,0.0249498,0.0215805,0.00682227,3.53759e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.10,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,34.5,32.6,36.4,0.0263326,0.0234255,0.00750569,6.05976e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.11,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,38.4,36.4,40.4,0.041418,0.0249872,0.00824546,0.000167214,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.12,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,42.65,40.4,44.9,0.0296671,0.0246057,0.00804759,0.000349076,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.13,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,47.55,44.9,50.2,0.0254788,0.0230471,0.00858429,0.000586565,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.14,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,53.3,50.2,56.4,0.00210079,0.024613,0.00974926,0.000846388,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.15,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,60.15,56.4,63.9,-0.0142696,0.0261306,0.0114302,0.00108215,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.16,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,68.65,63.9,73.4,-0.0108948,0.02834,0.0120099,0.00123572,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.17,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,79.4,73.4,85.4,-0.0526521,0.0323305,0.0143638,0.00123938,1.0,False,20.0,20.0,2.0,4.5
A8_A5_2y35.18,1 / 1 / 1 / 25,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,95.2,85.4,105.0,0.00479068,0.0493933,0.0264587,0.00101876,1.0,False,20.0,20.0,2.0,4.5
