Name,A8_A0_2y35
Comment,ATLAS 8TeV angular coefficent A0
Reference,arXiv:1606.00689
Process type,DY
Number of points,19
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8_A0_2y35.0,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,1.25,0.0,2.5,0.0926259,0.0274649,0.0441113,0.00209955,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.1,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,3.75,2.5,5.0,0.0845372,0.0187034,0.0350189,0.0012251,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.2,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,6.5,5.0,8.0,0.0703121,0.0168705,0.0330785,0.000765968,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.3,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,9.7,8.0,11.4,0.0692011,0.0156274,0.0324043,0.000558238,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.4,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,13.15,11.4,14.9,0.0699068,0.0165877,0.0315967,0.000495247,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.5,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,16.7,14.9,18.5,0.0838428,0.0189773,0.031193,0.000512192,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.6,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,20.25,18.5,22.0,0.115451,0.0220103,0.0302954,0.000572992,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.7,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,23.75,22.0,25.5,0.130691,0.0257378,0.0298058,0.000659438,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.8,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,27.25,25.5,29.0,0.172048,0.0289591,0.0294403,0.000762629,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.9,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,30.8,29.0,32.6,0.202593,0.0313417,0.0295926,0.000876698,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.10,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,34.5,32.6,36.4,0.23968,0.0338022,0.0293508,0.000994816,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.11,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,38.4,36.4,40.4,0.276555,0.0360811,0.0295335,0.00110748,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.12,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,42.65,40.4,44.9,0.316006,0.0349568,0.0296612,0.00120311,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.13,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,47.55,44.9,50.2,0.362276,0.0299636,0.0286323,0.00127088,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.14,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,53.3,50.2,56.4,0.4168,0.0295645,0.0294788,0.00130588,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.15,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,60.15,56.4,63.9,0.469265,0.0292006,0.0306795,0.00131657,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.16,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,68.65,63.9,73.4,0.556855,0.0292502,0.0311259,0.00133445,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.17,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,79.4,73.4,85.4,0.652162,0.0296523,0.0292623,0.00142611,1.0,False,20.0,20.0,2.0,4.5
A8_A0_2y35.18,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,95.2,85.4,105.0,0.788604,0.0415766,0.0486442,0.0017075,1.0,False,20.0,20.0,2.0,4.5
