Name,A8_A0_0y1
Comment,ATLAS 8TeV angular coefficent A0
Reference,arXiv:1606.00689
Process type,DY
Number of points,23
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8_A0_0y1.0,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,1.25,0.0,2.5,0.00388515,0.00574307,0.00463085,0.00290819,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.1,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,3.75,2.5,5.0,0.00945122,0.00274226,0.00342401,0.00196514,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.2,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,6.5,5.0,8.0,0.0220843,0.0028498,0.00336609,0.00152951,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.3,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,9.7,8.0,11.4,0.0407591,0.00282358,0.00332058,0.00141996,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.4,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,13.15,11.4,14.9,0.0640922,0.00281238,0.00326669,0.00151518,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.5,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,16.7,14.9,18.5,0.0913172,0.00319297,0.00332066,0.00173536,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.6,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,20.25,18.5,22.0,0.122186,0.00373608,0.00347307,0.00202704,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.7,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,23.75,22.0,25.5,0.155819,0.00414739,0.00357099,0.00235132,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.8,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,27.25,25.5,29.0,0.192651,0.00437051,0.00361132,0.00267538,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.9,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,30.8,29.0,32.6,0.231961,0.00451687,0.00356222,0.00296743,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.10,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,34.5,32.6,36.4,0.274811,0.00476186,0.00362348,0.00319492,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.11,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,38.4,36.4,40.4,0.320056,0.00511131,0.0037217,0.00332622,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.12,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,42.65,40.4,44.9,0.369101,0.00542115,0.00381886,0.00333549,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.13,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,47.55,44.9,50.2,0.420672,0.00554545,0.00379906,0.00321108,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.14,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,53.3,50.2,56.4,0.475852,0.00544591,0.00364433,0.00296717,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.15,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,60.15,56.4,63.9,0.534019,0.00525899,0.00344492,0.00265878,1.0,False,20.0,20.0,2.0,4.5
A8_A0_0y1.16,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,68.65,63.9,73.4,0.594585,0.00538297,0.00338483,0.00240018,1.0,False,20.0,20.0,2.0,4.5
