Name,A8_A0_1y2
Comment,ATLAS 8TeV angular coefficent A0
Reference,arXiv:1606.00689
Process type,DY
Number of points,23
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8_A0_1y2.0,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,1.25,0.0,2.5,-0.0161624,0.00764061,0.00773141,0.00245241,1.0,False,20.0,20.0,2.0,4.5
A8_A0_1y2.1,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,3.75,2.5,5.0,-0.00122668,0.00355604,0.00665201,0.00160459,1.0,False,20.0,20.0,2.0,4.5
A8_A0_1y2.2,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,6.5,5.0,8.0,0.0167415,0.00371527,0.00655701,0.00129445,1.0,False,20.0,20.0,2.0,4.5
A8_A0_1y2.3,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,9.7,8.0,11.4,0.0375581,0.00368657,0.00640936,0.00124939,1.0,False,20.0,20.0,2.0,4.5
A8_A0_1y2.4,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,13.15,11.4,14.9,0.0608697,0.00362184,0.00621419,0.0013107,1.0,False,20.0,20.0,2.0,4.5
A8_A0_1y2.5,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,16.7,14.9,18.5,0.0866407,0.0040952,0.00614679,0.0013995,1.0,False,20.0,20.0,2.0,4.5
A8_A0_1y2.6,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,20.25,18.5,22.0,0.115341,0.00482155,0.00615099,0.00148798,1.0,False,20.0,20.0,2.0,4.5
A8_A0_1y2.7,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,23.75,22.0,25.5,0.146545,0.00537426,0.00611451,0.00157599,1.0,False,20.0,20.0,2.0,4.5
A8_A0_1y2.8,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,27.25,25.5,29.0,0.180977,0.00569768,0.00607945,0.00167291,1.0,False,20.0,20.0,2.0,4.5
A8_A0_1y2.9,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,30.8,29.0,32.6,0.21891,0.00594457,0.00603083,0.0017849,1.0,False,20.0,20.0,2.0,4.5
A8_A0_1y2.10,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,34.5,32.6,36.4,0.259869,0.00631338,0.00604445,0.00190741,1.0,False,20.0,20.0,2.0,4.5
A8_A0_1y2.11,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,38.4,36.4,40.4,0.30518,0.00687865,0.00611876,0.00202307,1.0,False,20.0,20.0,2.0,4.5
A8_A0_1y2.12,1 / 1 / 1 / 20,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,42.65,40.4,44.9,0.354732,0.0073806,0.00614235,0.00210484,1.0,False,20.0,20.0,2.0,4.5
