Name,A8_A2_2y35
Comment,ATLAS 8TeV angular coefficent A2
Reference,arXiv:1606.00689
Process type,DY
Number of points,19
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8_A2_2y35.0,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,1.25,0.0,2.5,0.197826,0.0940673,0.0631787,0.00223933,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.1,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,3.75,2.5,5.0,0.0813953,0.0714296,0.0413504,0.000684697,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.2,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,6.5,5.0,8.0,0.0707457,0.05927,0.0353134,0.000158545,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.3,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,9.7,8.0,11.4,0.0703297,0.0481035,0.0308388,0.000203396,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.4,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,13.15,11.4,14.9,0.0912175,0.0472713,0.026447,0.000493482,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.5,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,16.7,14.9,18.5,0.115637,0.0496099,0.0260137,0.000813083,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.6,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,20.25,18.5,22.0,0.151347,0.056585,0.0262988,0.0010365,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.7,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,23.75,22.0,25.5,0.158793,0.0664945,0.0303986,0.00110961,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.8,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,27.25,25.5,29.0,0.190574,0.0662601,0.0297895,0.00103312,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.9,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,30.8,29.0,32.6,0.186692,0.0687948,0.0316872,0.000847333,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.10,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,34.5,32.6,36.4,0.234028,0.0707167,0.0329727,0.000618591,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.11,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,38.4,36.4,40.4,0.22809,0.0717686,0.0362205,0.000427348,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.12,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,42.65,40.4,44.9,0.312495,0.0660852,0.0354238,0.000357824,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.13,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,47.55,44.9,50.2,0.348292,0.0601805,0.0326154,0.000489297,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.14,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,53.3,50.2,56.4,0.427551,0.063205,0.0396012,0.000889007,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.15,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,60.15,56.4,63.9,0.432964,0.0684599,0.0400269,0.00160668,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.16,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,68.65,63.9,73.4,0.502721,0.0760776,0.043737,0.00267065,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.17,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,79.4,73.4,85.4,0.423583,0.0989895,0.0750004,0.00408567,1.0,False,20.0,20.0,2.0,4.5
A8_A2_2y35.18,1 / 1 / 1 / 22,64000000.0,91.1876,80.0,100.0,2.75,2.0,3.5,95.2,85.4,105.0,0.258156,0.158811,0.151652,0.00583221,1.0,False,20.0,20.0,2.0,4.5
