Name,SMC.p
Comment,Taken from tables 8 and 9. Bin in Q guessed by us. They neglect the systematic uncertainty on g2 and setting it to 0. Furthermore, they compute the WW-terms and add their uncertainty.
Reference,arXiv:hep-ex/9702005
Process type,G2
Number of points,6
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,
SMC.p.0,100,357.319844,1.1661903789690602,0.9338102469385857,1.3985705109995346,0.01,0.006,0.015,0.07400000000000007,75.84,0.0,0.221,1.0
SMC.p.1,100,357.319844,1.6309506430300091,1.3985705109995346,1.963299349839904,0.026,0.015,0.05,6.693,13.92,0.0,0.069,1.0
SMC.p.2,100,357.319844,2.295648056649799,1.963299349839904,2.530755696918833,0.069,0.05,0.1,0.873,4.77,0.0,0.019,1.0
SMC.p.3,100,357.319844,2.7658633371878665,2.530755696918833,3.0306573739223412,0.121,0.1,0.15,-0.987,2.92,0.0,0.015,1.0
SMC.p.4,100,357.319844,3.295451410656816,3.0306573739223412,3.713518531339768,0.199,0.15,0.3,0.273,1.66,0.0,0.007,1.0
SMC.p.5,100,357.319844,4.13158565202272,3.713518531339768,4.549652772705672,0.378,0.2,0.6,0.746,0.64,0.0,0.005,1.0
