Name,E142.n
Comment,Taken from table 4. Bin in Q guessed by us. We take the three incident energies presented for the data and assume the values computed are for the average energy from those 3
Reference,hep-ex/9610007
Process type,G2
Number of points,8
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,
E142.n.0,101,42.886947,1.0488088481701516,1.0254907147500614,1.072126981590242,0.036,0.03,0.04,-10.623361440024054,12.22,3.17,0.05175995609678254,1.0
E142.n.1,101,42.886947,1.0954451150103321,1.072126981590242,1.2185429507551029,0.05,0.04,0.06,2.449464533097781,4.92,1.63,0.04389045674529668,1.0
E142.n.2,101,42.886947,1.3416407864998738,1.2185429507551029,1.4613898082920318,0.081,0.06,0.1,-0.7893728516001244,1.96,0.87,0.04277006047449033,1.0
E142.n.3,101,42.886947,1.5811388300841898,1.4613898082920318,1.6709102581250455,0.124,0.1,0.15,-0.34643222123645784,1.07,0.49,0.02596260715949315,1.0
E142.n.4,101,42.886947,1.760681686165901,1.6709102581250455,1.8550202775638467,0.174,0.15,0.2,-0.9277148057320468,0.74,0.34,0.01540388155237981,1.0
E142.n.5,101,42.886947,1.9493588689617927,1.8550202775638467,2.023488282651048,0.245,0.2,0.3,-0.13851303566751286,0.39,0.18,0.010471674792472435,1.0
E142.n.6,101,42.886947,2.0976176963403033,2.023488282651048,2.221412788126009,0.341,0.3,0.4,0.15068676790669755,0.28,0.09,0.007198177873342313,1.0
E142.n.7,101,42.886947,2.345207879911715,2.221412788126009,2.469002971697421,0.466,0.4,0.6,-0.22013845261754758,0.2,0.05,0.0052973470506824305,1.0
