Name,CDFrun1-W
Comment,CDF 1.8TeV, W-boson production to electron
Reference,Phys.Rev.Lett. 66 (1991)
Process type,DY
Number of points,20
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CDFrun1-W.0,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,1.0,0.0,2.0,694.0,75.0,451.0,0.5,False,20.0,20.0,-1.1,1.1
CDFrun1-W.1,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,3.0,2.0,4.0,1562.0,102.0,677.0,0.5,False,20.0,20.0,-1.1,1.1
CDFrun1-W.2,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,5.0,4.0,6.0,1419.0,84.0,382.0,0.5,False,20.0,20.0,-1.1,1.1
CDFrun1-W.3,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,7.0,6.0,8.0,1084.0,68.0,219.0,0.5,False,20.0,20.0,-1.1,1.1
CDFrun1-W.4,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,9.0,8.0,10.0,963.0,61.0,196.0,0.5,False,20.0,20.0,-1.1,1.1
CDFrun1-W.5,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,11.0,10.0,12.0,762.0,54.0,173.0,0.5,False,20.0,20.0,-1.1,1.1
CDFrun1-W.6,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,13.0,12.0,14.0,684.0,51.0,164.0,0.5,False,20.0,20.0,-1.1,1.1
CDFrun1-W.7,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,15.0,14.0,16.0,521.0,45.0,122.0,0.5,False,20.0,20.0,-1.1,1.1
CDFrun1-W.8,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,17.0,16.0,18.0,451.0,43.0,104.0,0.5,False,20.0,20.0,-1.1,1.1
CDFrun1-W.9,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,19.0,18.0,20.0,388.0,40.0,86.0,0.5,False,20.0,20.0,-1.1,1.1
CDFrun1-W.10,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,22.5,20.0,25.0,291.0,22.0,65.0,0.2,False,20.0,20.0,-1.1,1.1
CDFrun1-W.11,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,27.5,25.0,30.0,154.0,16.0,33.0,0.2,False,20.0,20.0,-1.1,1.1
CDFrun1-W.12,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,32.5,30.0,35.0,115.0,14.0,24.0,0.2,False,20.0,20.0,-1.1,1.1
CDFrun1-W.13,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,37.5,35.0,40.0,61.1,9.9,12.8,0.2,False,20.0,20.0,-1.1,1.1
CDFrun1-W.14,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,42.5,40.0,45.0,51.5,9.2,10.6,0.2,False,20.0,20.0,-1.1,1.1
CDFrun1-W.15,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,47.5,45.0,50.0,40.4,8.1,8.3,0.2,False,20.0,20.0,-1.1,1.1
CDFrun1-W.16,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,54.7,50.0,60.0,19.6,4.0,4.4,0.1,False,20.0,20.0,-1.1,1.1
CDFrun1-W.17,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,68.9,60.0,80.0,7.3,1.7,2.1,0.05,False,20.0,20.0,-1.1,1.1
CDFrun1-W.18,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,99.6,80.0,130.0,1.18,0.41,0.55,0.02,False,20.0,20.0,-1.1,1.1
CDFrun1-W.19,1 - 1 - 12,3240000.0,80.0,40.0,300.0,0.0,-100.0,100.0,151.2,130.0,200.0,0.44,0.24,0.15,0.014285714285714285,False,20.0,20.0,-1.1,1.1
