Name,A13-norm
Comment,ATLAS 13TeV normalized to 1/sigma
Reference,arXiv:1912.02844
Process type,DY
Number of points,44
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A13-norm.25,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,67.5,65.0,70.0,0.00135193,4.3334899413e-06,2.1053065118e-06,0.2,True,27.0,27.0,-2.5,2.5
A13-norm.26,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,72.5,70.0,75.0,0.0011323,4.232322262999999e-06,1.9652425259999997e-06,0.2,True,27.0,27.0,-2.5,2.5
A13-norm.27,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,77.5,75.0,80.0,0.00095743,4.114794782500001e-06,1.9283597630000003e-06,0.2,True,27.0,27.0,-2.5,2.5
A13-norm.28,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,82.5,80.0,85.0,0.000814977,3.985881361830001e-06,1.8108055460700002e-06,0.2,True,27.0,27.0,-2.5,2.5
A13-norm.29,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,90.0,85.0,95.0,0.000653718,1.8724771533000001e-06,9.158850667200001e-07,0.1,True,27.0,27.0,-2.5,2.5
A13-norm.30,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,100.0,95.0,105.0,0.000484859,1.77326027493e-06,8.572646521299999e-07,0.1,True,27.0,27.0,-2.5,2.5
A13-norm.31,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,115.0,105.0,125.0,0.000329051,8.149935168000001e-07,4.047952496900001e-07,0.05,True,27.0,27.0,-2.5,2.5
A13-norm.32,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,137.5,125.0,150.0,0.000186048,5.931433497599999e-07,2.9294001792e-07,0.04,True,27.0,27.0,-2.5,2.5
A13-norm.33,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,162.5,150.0,175.0,0.000104998,5.3331214148e-07,2.490762556e-07,0.04,True,27.0,27.0,-2.5,2.5
A13-norm.34,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,187.5,175.0,200.0,6.12794e-05,4.78661972516e-07,1.8549090541799996e-07,0.04,True,27.0,27.0,-2.5,2.5
A13-norm.35,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,225.0,200.0,250.0,3.0584e-05,2.015210344e-07,6.707285288e-08,0.02,True,27.0,27.0,-2.5,2.5
A13-norm.36,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,275.0,250.0,300.0,1.22113e-05,1.6915459099e-07,4.2076964862e-08,0.02,True,27.0,27.0,-2.5,2.5
A13-norm.37,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,325.0,300.0,350.0,5.90263e-06,1.32835146572e-07,3.31609163137e-08,0.02,True,27.0,27.0,-2.5,2.5
A13-norm.38,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,375.0,350.0,400.0,2.77421e-06,1.04070881677e-07,2.49122116053e-08,0.02,True,27.0,27.0,-2.5,2.5
A13-norm.39,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,435.0,400.0,470.0,1.25134e-06,6.0984180034e-08,1.03193129574e-08,0.014285714285714285,True,27.0,27.0,-2.5,2.5
A13-norm.40,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,510.0,470.0,550.0,5.5219e-07,4.3656196619000005e-08,6.3786227849999995e-09,0.0125,True,27.0,27.0,-2.5,2.5
A13-norm.41,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,600.0,550.0,650.0,2.01646e-07,2.5936918396000006e-08,3.1147652682000006e-09,0.01,True,27.0,27.0,-2.5,2.5
A13-norm.42,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,775.0,650.0,900.0,5.11526e-08,8.046662048200002e-09,9.3214359928e-10,0.004,True,27.0,27.0,-2.5,2.5
A13-norm.43,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,1700.0,900.0,2500.0,2.51767e-06,1.51827082282e-06,1.5879976934700002e-07,0.000625,True,27.0,27.0,-2.5,2.5
