Name,E605
Comment,E605 data
Reference,Phys.Rev.D 43 (1991) 2815
Process type,DY
Number of points,74
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.15
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E605.7Q8.0,2 / 1 / 1 / 101,1502.3375999999998,7.5,7.0,8.0,0.1,-0.1,0.2,0.1,0.0,0.2,0.785,0.1692059,0.03925000000000001,10.603471355741828,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.1,2 / 1 / 1 / 101,1502.3375999999998,7.5,7.0,8.0,0.1,-0.1,0.2,0.3,0.19999999999999998,0.4,0.973,0.1762993,0.04865,3.536845372313852,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.2,2 / 1 / 1 / 101,1502.3375999999998,7.5,7.0,8.0,0.1,-0.1,0.2,0.5,0.4,0.6,0.825,0.1442574,0.04125,2.1249303092825325,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.3,2 / 1 / 1 / 101,1502.3375999999998,7.5,7.0,8.0,0.1,-0.1,0.2,0.7,0.6,0.7999999999999999,0.805,0.1394619,0.04025000000000001,1.5208270854853037,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.4,2 / 1 / 1 / 101,1502.3375999999998,7.5,7.0,8.0,0.1,-0.1,0.2,0.9,0.8,1.0,0.569,0.09937236,0.02845,1.1859898390300045,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.5,2 / 1 / 1 / 101,1502.3375999999998,7.5,7.0,8.0,0.1,-0.1,0.2,1.1,1.0,1.2000000000000002,0.537,0.09595475,0.026850000000000002,0.9735412195482318,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.6,2 / 1 / 1 / 101,1502.3375999999998,7.5,7.0,8.0,0.1,-0.1,0.2,1.3,1.2,1.4000000000000001,0.388,0.07269525,0.0194,0.8269889584725344,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.7,2 / 1 / 1 / 101,1502.3375999999998,7.5,7.0,8.0,0.1,-0.1,0.2,1.5,1.4,1.6,0.312,0.06227038,0.015600000000000001,0.7199691904049598,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.8,2 / 1 / 1 / 101,1502.3375999999998,7.5,7.0,8.0,0.1,-0.1,0.2,1.7,1.5999999999999999,1.8,0.229,0.0519838,0.011450000000000002,0.6385239062267176,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.9,2 / 1 / 1 / 101,1502.3375999999998,7.5,7.0,8.0,0.1,-0.1,0.2,1.9,1.7999999999999998,2.0,0.136,0.03748186,0.0068000000000000005,0.5745715979720424,False,0.0,0.0,-1000.0,1000.0
