Name,CMS13-08y12-norm
Comment,CMS 13TeV 0.8<|y|<1.2 normalized
Reference,arXiv:1909.04133
Process type,DY
Number of points,33
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CMS13-08y12-norm.0,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,1.5,1.0,2.0,0.050327,0.0012407,5.032699999999999e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.1,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,2.5,2.0,3.0,0.067627,0.0015819,6.7627e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.2,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,3.5,3.0,4.0,0.076298,0.001653,7.6298e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.3,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,4.5,4.0,5.0,0.07739,0.0015504,7.739e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.4,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,5.5,5.0,6.0,0.074382,0.0014331,7.4382e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.5,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,6.5,6.0,7.0,0.070226,0.0013441,7.0226e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.6,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,7.5,7.0,8.0,0.064933,0.0012206,6.4933e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.7,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,8.5,8.0,9.0,0.060642,0.0011014,6.0642e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.8,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,9.5,9.0,10.0,0.055493,0.00097115,5.5493e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.9,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,10.5,10.0,11.0,0.050857,0.00085709,5.0857e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.10,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,11.5,11.0,12.0,0.046758,0.00076033,4.6758e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.11,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,12.5,12.0,13.0,0.044107,0.00068751,4.4107e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.12,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,13.5,13.0,14.0,0.039087,0.00058745,3.9087e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.13,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,15.0,14.0,16.0,0.035297,0.00052073,3.5297e-08,1.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.14,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,17.0,16.0,18.0,0.030428,0.00043992,3.0428e-08,1.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.15,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,19.0,18.0,20.0,0.026305,0.00036748,2.6304999999999996e-08,1.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.16,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,21.0,20.0,22.0,0.022761,0.00030663,2.2760999999999998e-08,1.0,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.17,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,23.5,22.0,25.0,0.019335,0.00025112,1.9335e-08,0.6666666666666666,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.18,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,26.5,25.0,28.0,0.015819,0.00019345,1.5818999999999998e-08,0.6666666666666666,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.19,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,30.0,28.0,32.0,0.01305,0.00014695,1.3050000000000001e-08,0.5,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.20,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,34.5,32.0,37.0,0.010042,0.0001057,1.0042e-08,0.4,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.21,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,40.0,37.0,43.0,0.0075026,7.6945e-05,7.5026e-09,0.3333333333333333,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.22,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,47.5,43.0,52.0,0.0051898,5.4625e-05,5.1898e-09,0.2222222222222222,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.23,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,58.5,52.0,65.0,0.003105,3.4236e-05,3.105e-09,0.15384615384615385,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.24,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,75.0,65.0,85.0,0.0016419,1.9045e-05,1.6418999999999999e-09,0.1,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.25,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,102.5,85.0,120.0,0.00070219,9.2421e-06,7.021899999999999e-10,0.05714285714285714,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.26,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,140.0,120.0,160.0,0.00025891,4.1716e-06,2.5891e-10,0.05,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.27,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,175.0,160.0,190.0,0.00010973,2.1152e-06,1.0972999999999999e-10,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.28,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,205.0,190.0,220.0,5.917e-05,1.3378e-06,5.917e-11,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.29,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,235.0,220.0,250.0,3.3756e-05,8.7645e-07,3.3756e-11,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.30,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,275.0,250.0,300.0,1.7296e-05,4.9354e-07,1.7296e-11,0.04,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.31,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,350.0,300.0,400.0,5.6617e-06,1.8424e-07,5.6617e-12,0.02,True,25.0,25.0,-2.4,2.4
CMS13-08y12-norm.32,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.0,0.8,1.2,950.0,400.0,1500.0,2.3526e-07,9.2692e-09,2.3526e-13,0.0018181818181818182,True,25.0,25.0,-2.4,2.4
