Name,CMS13-16y24
Comment,CMS 13TeV 1.6<|y|<2.4 absolute
Reference,arXiv:1909.04133
Process type,DY
Number of points,33
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,1
List of norm.errors (relative),0.025
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CMS13-16y24.0,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,1.5,1.0,2.0,3.9945,0.16440757492813401,0.0039945,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.1,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,2.5,2.0,3.0,5.1864,0.19577721215708432,0.0051864,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.2,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,3.5,3.0,4.0,5.9383,0.21121581284020854,0.0059383,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.3,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,4.5,4.0,5.0,6.1235,0.20525822990503936,0.0061235000000000005,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.4,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,5.5,5.0,6.0,5.9163,0.18893007977489978,0.0059163,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.5,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,6.5,6.0,7.0,5.5466,0.16851216773574543,0.0055466,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.6,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,7.5,7.0,8.0,5.1815,0.14741157923904757,0.0051814999999999995,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.7,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,8.5,8.0,9.0,4.8699,0.13016712005629533,0.004869900000000001,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.8,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,9.5,9.0,10.0,4.5669,0.11619401982782933,0.0045669000000000005,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.9,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,10.5,10.0,11.0,4.2415,0.10507410239326338,0.0042415000000000005,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.10,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,11.5,11.0,12.0,3.8907,0.09663428761961254,0.0038907,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.11,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,12.5,12.0,13.0,3.5541,0.09006965995133988,0.0035541,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.12,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,13.5,13.0,14.0,3.2928,0.08243583929335589,0.0032928000000000002,2.0,True,25.0,25.0,-2.4,2.4
