Name,LHCb13_dy(2021)
Comment,LHCb 13TeV 2021 update y-differential
Reference,arXiv:2112.07458
Process type,DY
Number of points,70
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.02
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
LHCb13_dy(2021).10,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.25,2.0,2.5,21.75,19.0,24.5,0.77,0.008,0.012,0.36363636363636365,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).11,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.25,2.0,2.5,29.25,24.5,34.0,0.505,0.005,0.007,0.21052631578947367,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).12,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.25,2.0,2.5,48.5,34.0,63.0,0.225,0.002,0.003,0.06896551724137931,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).13,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.25,2.0,2.5,166.5,63.0,270.0,0.0166,0.0002,0.0003,0.00966183574879227,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).14,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.75,2.5,3.0,1.1,0.0,2.2,3.66,0.03,0.33,0.9090909090909091,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).15,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.75,2.5,3.0,2.8,2.2,3.4,6.69,0.06,0.22,1.666666666666667,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).16,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.75,2.5,3.0,4.0,3.4,4.6,6.77,0.05,0.12,1.666666666666667,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).17,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.75,2.5,3.0,5.199999999999999,4.6,5.8,6.67,0.05,0.09,1.6666666666666665,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).18,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.75,2.5,3.0,6.5,5.8,7.2,6.01,0.05,0.09,1.4285714285714282,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).19,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.75,2.5,3.0,7.949999999999999,7.2,8.7,5.46,0.04,0.08,1.3333333333333341,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).20,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.75,2.5,3.0,9.6,8.7,10.5,4.85,0.04,0.08,1.1111111111111107,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).21,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.75,2.5,3.0,11.65,10.5,12.8,3.96,0.03,0.08,0.8695652173913041,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).22,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.75,2.5,3.0,14.100000000000001,12.8,15.4,3.21,0.03,0.04,0.7692307692307694,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).23,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.75,2.5,3.0,17.2,15.4,19.0,2.57,0.02,0.03,0.5555555555555556,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).24,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.75,2.5,3.0,21.75,19.0,24.5,1.879,0.013,0.021,0.36363636363636365,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).25,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.75,2.5,3.0,29.25,24.5,34.0,1.186,0.008,0.013,0.21052631578947367,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).26,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.75,2.5,3.0,48.5,34.0,63.0,0.477,0.003,0.005,0.06896551724137931,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).27,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,2.75,2.5,3.0,166.5,63.0,270.0,0.0289,0.0003,0.0002,0.00966183574879227,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).28,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.25,3.0,3.5,1.1,0.0,2.2,4.4,0.04,0.26,0.9090909090909091,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).29,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.25,3.0,3.5,2.8,2.2,3.4,8.28,0.06,0.33,1.666666666666667,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).30,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.25,3.0,3.5,4.0,3.4,4.6,8.31,0.06,0.19,1.666666666666667,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).31,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.25,3.0,3.5,5.199999999999999,4.6,5.8,8.04,0.06,0.13,1.6666666666666665,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).32,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.25,3.0,3.5,6.5,5.8,7.2,7.12,0.05,0.09,1.4285714285714282,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).33,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.25,3.0,3.5,7.949999999999999,7.2,8.7,6.12,0.05,0.16,1.3333333333333341,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).34,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.25,3.0,3.5,9.6,8.7,10.5,5.44,0.04,0.11,1.1111111111111107,True,20.0,20.0,2.0,4.5
LHCb13_dy(2021).35,1 - 1 - 5,169000000.0,91.1876,60.0,120.0,3.25,3.0,3.5,11.65,10.5,12.8,4.49,0.03,0.04,0.8695652173913041,True,20.0,20.0,2.0,4.5
